"SYMBOL","annotation","distanceToTSS"
"CREB5","Intron (ENST00000396299.6/9586, intron 1 of 9)",-18468
"TRHDE-AS1","Exon (ENST00000667465.1/283392, exon 2 of 4)",7284
"PACSIN1","Exon (ENST00000620693.4/29993, exon 6 of 10)",14811
"LDB2","Promoter (1-2kb)",1196
"ABCA6","Promoter (2-3kb)",2357
"FAT3","Intron (ENST00000525166.6/120114, intron 1 of 27)",-10958
"CXCL12","Exon (ENST00000791576.1/ENST00000791576.1, exon 1 of 2)",-70843
"SGK2","3' UTR",-8951
"CEP126","Promoter (<=1kb)",108
"COL14A1","Promoter (<=1kb)",-600
"SLC2A4","Promoter (<=1kb)",932
"RELN","Exon (ENST00000681182.1/5649, exon 2 of 2)",74569
"DPYSL5","Promoter (2-3kb)",2170
"TACC1","Promoter (<=1kb)",-249
"RAC3","Promoter (<=1kb)",0
"SUN1","Intron (ENST00000427969.5/23353, intron 1 of 3)",4963
"TRIP13","Distal Intergenic",17609
"SPRING1","Distal Intergenic",10902
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",-33934
"PLD1","Intron (ENST00000351298.9/5337, intron 11 of 26)",4525
"GFRA1","Intron (ENST00000369236.5/2674, intron 4 of 8)",134768
"CES4A","Distal Intergenic",7582
"KCNQ5","Distal Intergenic",-66614
"ONECUT2","Intron (ENST00000491143.3/9480, intron 1 of 1)",3050
"PLD1","Promoter (2-3kb)",2215
"NMNAT3","Intron (ENST00000658348.1/100507291, intron 5 of 6)",-21247
"MAST4","Intron (ENST00000406374.5/375449, intron 3 of 5)",8208
"TMEM158","Promoter (1-2kb)",-1797
"ALDH3A2","Promoter (<=1kb)",153
"TPM1","Intron (ENST00000804117.1/ENST00000804117.1, intron 1 of 4)",-16841
"CACNA1B","Intron (ENST00000371372.6/774, intron 26 of 46)",-21086
"TRIB3","Promoter (<=1kb)",0
"B4GALNT3","Intron (ENST00000266383.10/283358, intron 1 of 19)",39454
"TACC3","Distal Intergenic",8118
"PTPN5","Promoter (1-2kb)",1798
"DLC1","Intron (ENST00000276297.9/10395, intron 5 of 17)",29121
"FOSB","Promoter (2-3kb)",-2643
"CLDN11","Intron (ENST00000468232.1/ENST00000468232.1, intron 1 of 3)",-7464
"GABBR2","Intron (ENST00000259455.4/9568, intron 1 of 18)",-4921
"DHRS12","Intron (ENST00000642706.1/79758, intron 7 of 10)",-3966
"H3C7","Promoter (<=1kb)",202
"DENND2C","Intron (ENST00000393276.7/163259, intron 1 of 17)",21189
"B4GALNT3","Intron (ENST00000791531.1/ENST00000791531.1, intron 1 of 1)",-6760
"ZNF469","Distal Intergenic",41265
"SVIL","Exon (ENST00000729339.1/102724316, exon 3 of 3)",15954
"SGSM1","Intron (ENST00000610372.4/129049, intron 2 of 24)",-7927
"ZBTB16","Intron (ENST00000682278.1/7704, intron 5 of 7)",9675
"SEC14L6","Promoter (<=1kb)",251
"AHNAK","Intron (ENST00000530124.5/79026, intron 2 of 2)",8565
"AKAP12","Exon (ENST00000402676.7/9590, exon 4 of 5)",10781
"NTRK2","Intron (ENST00000692804.1/4915, intron 11 of 11)",75610
"VAV3","Promoter (1-2kb)",-1718
"DNMBP","Intron (ENST00000543621.6/23268, intron 3 of 13)",7233
"LOC124901094","Intron (ENST00000732555.1/ENST00000732555.1, intron 1 of 1)",12040
"GALNT13","Intron (ENST00000392825.8/114805, intron 10 of 12)",-6578
"KIF1A","Promoter (<=1kb)",0
"HMCN2","Intron (ENST00000683500.2/256158, intron 37 of 97)",-24298
"TNS1","Intron (ENST00000646520.1/7145, intron 4 of 32)",-12810
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",-113261
"ASRGL1","Promoter (1-2kb)",-1989
"PGAP4","Promoter (<=1kb)",0
"TRIB3","Intron (ENST00000608467.5/80023, intron 4 of 4)",-6300
"IL11RA","Promoter (<=1kb)",0
"PLCD1","Promoter (<=1kb)",-800
"KIF26B","Promoter (2-3kb)",2055
"PLAU","Promoter (<=1kb)",0
"PLA2R1","Intron (ENST00000283243.13/22925, intron 11 of 29)",-54005
"FANCA","Promoter (<=1kb)",0
"GABBR2","Intron (ENST00000259455.4/9568, intron 3 of 18)",13682
"SYNDIG1","Distal Intergenic",120689
"DPT","Intron (ENST00000823297.1/ENST00000823297.1, intron 1 of 1)",41143
"ABLIM1","Intron (ENST00000651092.1/3983, intron 1 of 15)",-18720
"COL22A1","Exon (ENST00000519306.1/ENST00000519306.1, exon 3 of 3)",-182337
"DKK2","Intron (ENST00000513208.5/27123, intron 2 of 4)",-14291
"JAKMIP1","Intron (ENST00000531445.3/389197, intron 16 of 33)",16583
"MYLK","Intron (ENST00000360772.7/4638, intron 1 of 33)",7150
"FLNC","Promoter (<=1kb)",414
"SMPD5","Intron (ENST00000377470.8/375686, intron 4 of 4)",-3889
"PER2","Promoter (<=1kb)",683
"PTPN13","Intron (ENST00000427191.6/5783, intron 39 of 46)",28170
"ABCD1","3' UTR",9151
"POC1A","Intron (ENST00000296484.7/25886, intron 7 of 10)",25981
"RYR3","Intron (ENST00000415757.7/6263, intron 47 of 102)",5570
"KIF26B-AS1","Intron (ENST00000407071.7/55083, intron 2 of 14)",-42843
"HPSE2","Promoter (1-2kb)",-1660
"SH3PXD2A","Intron (ENST00000369774.9/9644, intron 5 of 14)",-18036
"MAPKBP1","Intron (ENST00000512970.5/23005, intron 3 of 29)",-3810
"LOC102724210","Promoter (<=1kb)",0
"CSMD2","Exon (ENST00000373381.9/114784, exon 18 of 71)",-14877
"IL16","Intron (ENST00000560989.1/ENST00000560989.1, intron 1 of 1)",-7317
"FER","Intron (ENST00000281092.9/2241, intron 17 of 19)",-35407
"DGAT2","3' UTR",5909
"DENND2C","Promoter (1-2kb)",-1032
"STARD13","Intron (ENST00000730891.1/90627, intron 2 of 4)",33635
"TPX2","Promoter (<=1kb)",65
"JPH2","Distal Intergenic",-8489
"LINC01348","Distal Intergenic",-20458
"LOC102724210","Distal Intergenic",119869
"TBX5","Exon (ENST00000405440.7/6910, exon 9 of 9)",47815
"KIF26B-AS1","Intron (ENST00000407071.7/55083, intron 2 of 14)",5096
"GNB4","Distal Intergenic",-24819
"IL33","Distal Intergenic",-20538
"TSHZ2","Distal Intergenic",-34200
"PLA2G2D","Distal Intergenic",10015
"CHST11","Intron (ENST00000303694.6/50515, intron 1 of 2)",20754
"GABBR2","Intron (ENST00000259455.4/9568, intron 1 of 18)",-35343
"RELN","Promoter (<=1kb)",-399
"LCN10","Promoter (<=1kb)",0
"MAST4","Intron (ENST00000406374.5/375449, intron 3 of 5)",19013
"PAPPA","Intron (ENST00000328252.4/5069, intron 1 of 21)",13006
"INHBA","Exon (ENST00000662280.1/285954, exon 2 of 2)",-5969
"RELN","Intron (ENST00000343529.9/5649, intron 19 of 63)",3262
"MLXIPL","3' UTR",3788
"PPP1R12B","Promoter (1-2kb)",-1346
"SMPD5","Promoter (2-3kb)",-2620
"CDH13","Intron (ENST00000268613.14/1012, intron 1 of 14)",4954
"DNAH11","Intron (ENST00000409508.8/8701, intron 44 of 81)",-12974
"ADA2","Promoter (<=1kb)",0
"CAV1","Intron (ENST00000614113.5/857, intron 3 of 3)",10265
"QPRT","Promoter (<=1kb)",990
"FHL1","Promoter (<=1kb)",272
"GINS4","Promoter (<=1kb)",-210
"LDB3","Intron (ENST00000685347.1/11155, intron 16 of 16)",6225
"PARP1","Distal Intergenic",-29924
"EGFR","Intron (ENST00000344576.7/1956, intron 3 of 15)",-19105
"EPHA2-AS1","Intron (ENST00000358432.8/1969, intron 1 of 16)",-3576
"ADCY5","Intron (ENST00000492595.6/26984, intron 6 of 6)",18948
"PALM","Distal Intergenic",-4471
"ZBTB16","Promoter (<=1kb)",0
"COL28A1","Promoter (1-2kb)",-1276
"OVOL1","Distal Intergenic",16432
"DAAM2","Promoter (<=1kb)",-688
"PDE2A","Promoter (1-2kb)",1301
"PLD1","Distal Intergenic",73272
"SERPINB2","Distal Intergenic",-23231
"SEMA5A","Intron (ENST00000382496.10/9037, intron 3 of 22)",40531
"LMOD1","Promoter (1-2kb)",-1141
"C14orf132","Distal Intergenic",-59312
"IKZF3","Intron (ENST00000377958.7/22806, intron 3 of 6)",-42433
"RAPGEFL1","Promoter (<=1kb)",-750
"PLD1","Distal Intergenic",79575
"CDHR1","Promoter (<=1kb)",968
"GALNT16","Distal Intergenic",11098
"PER1","Promoter (2-3kb)",2962
"KCNQ5","Intron (ENST00000342056.6/56479, intron 1 of 14)",17838
"PPL","Promoter (<=1kb)",438
"DNAH11","Intron (ENST00000409508.8/8701, intron 2 of 81)",7742
"QPRT","Intron (ENST00000449759.2/23475, intron 1 of 4)",-4420
"CLMP","Intron (ENST00000448775.4/79827, intron 1 of 6)",31291
"CHST11","Intron (ENST00000303694.6/50515, intron 1 of 2)",-11650
"PACSIN1","Intron (ENST00000620693.4/29993, intron 1 of 9)",-10652
"AKAP6","Intron (ENST00000280979.9/9472, intron 2 of 13)",18569
"NYNRIN","Exon (ENST00000382554.4/57523, exon 9 of 9)",3683
"CENPF","Promoter (<=1kb)",-13
"SCML1","Promoter (1-2kb)",1112
"TSHZ2","Intron (ENST00000719647.1/ENST00000719647.1, intron 1 of 1)",-13014
"TNS1","Exon (ENST00000492338.2/7145, exon 4 of 4)",4353
"RELN","Intron (ENST00000343529.9/5649, intron 11 of 63)",-29066
"IGSF9B","Exon (ENST00000763462.1/ENST00000763462.1, exon 1 of 2)",-10368
"APOB","Intron (ENST00000233242.5/338, intron 14 of 28)",16176
"CCNB2","Promoter (<=1kb)",678
"KCNG1","Distal Intergenic",-19635
"MAST4","Intron (ENST00000406374.5/375449, intron 1 of 5)",4139
"VSTM2L","Promoter (<=1kb)",327
"RASL11A","Distal Intergenic",12613
"AOX1","Intron (ENST00000357799.9/151246, intron 8 of 8)",-6896
"RNFT2","Promoter (<=1kb)",0
"IL22RA1","3' UTR",-12321
"ITGA8","Intron (ENST00000378076.4/8516, intron 8 of 29)",-16954
"MKI67","Intron (ENST00000368653.7/4288, intron 5 of 13)",-4850
"LOC102724210","Intron (ENST00000716554.1/102724210, intron 3 of 4)",-9959
"AP1S3","Intron (ENST00000699384.1/130340, intron 5 of 10)",9027
"ABCA8","Intron (ENST00000586539.6/10351, intron 18 of 39)",-3312
"FER","Intron (ENST00000281092.9/2241, intron 17 of 19)",-61204
"ADCY5","Intron (ENST00000462833.6/111, intron 3 of 20)",-13437
"ALDH1A2","Intron (ENST00000558231.5/8854, intron 1 of 12)",36987
"INHBA","Promoter (<=1kb)",0
"PIK3R1","Intron (ENST00000517412.2/5295, intron 2 of 2)",-18481
"LOC107987100","Promoter (<=1kb)",802
"IGF2BP1","Promoter (1-2kb)",1379
"SH3PXD2A","Intron (ENST00000369774.9/9644, intron 5 of 14)",-12507
"CCNE1","Distal Intergenic",13367
"PIK3R1","Intron (ENST00000517412.2/5295, intron 2 of 2)",6979
"CCBE1","Intron (ENST00000439986.9/147372, intron 2 of 10)",34421
"RYR3","Exon (ENST00000415757.7/6263, exon 41 of 103)",-24158
"DNMBP","Intron (ENST00000324109.9/23268, intron 1 of 16)",36450
"HMCN2","Intron (ENST00000683500.2/256158, intron 44 of 97)",-15305
"DUOX1","Promoter (2-3kb)",-2082
"ADAMTSL2","Exon (ENST00000354484.8/9719, exon 6 of 19)",5845
"SLIT3","Exon (ENST00000519560.6/6586, exon 34 of 36)",24745
"NXPH3","Distal Intergenic",9608
"LOC105378626","Intron (ENST00000639839.1/149086, intron 4 of 4)",4971
"PDLIM3","Distal Intergenic",-4597
"GAN","Intron (ENST00000648349.3/8139, intron 1 of 9)",-14885
"THEM5","Promoter (<=1kb)",0
"TCAM1P","Intron (ENST00000796227.1/ENST00000796227.1, intron 1 of 1)",5981
"GRIK3","Intron (ENST00000373091.8/2899, intron 1 of 15)",4893
"MASP1","Intron (ENST00000337774.10/5648, intron 5 of 15)",-3141
"PCSK2","Intron (ENST00000377899.5/5126, intron 9 of 12)",-20523
"PARVA","Intron (ENST00000530755.5/55742, intron 1 of 3)",11701
"CBX7","Intron (ENST00000745893.1/ENST00000745893.1, intron 1 of 3)",-33162
"COL22A1","Intron (ENST00000303045.11/169044, intron 3 of 64)",-33310
"SRSF5","Exon (ENST00000342745.5/9766, exon 5 of 6)",-17758
"LOC105377124","Distal Intergenic",-52907
"MEIS2","Distal Intergenic",-34011
"STARD13","Distal Intergenic",43475
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-61805
"LTBP4","Promoter (2-3kb)",2002
"DKK3","Intron (ENST00000396505.7/27122, intron 4 of 7)",6693
"FGFRL1","Promoter (<=1kb)",-131
"CHST11","Promoter (<=1kb)",-108
"TMEM164","Distal Intergenic",-87200
"NCAPH","Distal Intergenic",49919
"MYLK","Promoter (<=1kb)",528
"INMT","Promoter (2-3kb)",-2332
"MIR222HG","Intron (ENST00000780193.1/104457406, intron 2 of 3)",-30380
"CYP4F12","Distal Intergenic",-9467
"LOC102724210","Intron (ENST00000513519.3/102724210, intron 1 of 4)",-47220
"CSMD2","Intron (ENST00000373381.9/114784, intron 27 of 70)",-27760
"DGKG","Intron (ENST00000265022.8/1608, intron 20 of 24)",21402
"GLDN","Intron (ENST00000335449.11/342035, intron 4 of 9)",13760
"POC1A","Intron (ENST00000296484.7/25886, intron 9 of 10)",45396
"DNAH11","Distal Intergenic",-16721
"GNB4","Intron (ENST00000232564.8/59345, intron 1 of 9)",4394
"SRRM3","Intron (ENST00000611745.2/222183, intron 3 of 14)",-7073
"CACNB2","Intron (ENST00000324631.13/783, intron 2 of 13)",-26646
"SMG5","Intron (ENST00000361813.5/23381, intron 15 of 21)",-6128
"ALDH1A2","Intron (ENST00000558231.5/8854, intron 1 of 12)",61473
"LAPTM5","Distal Intergenic",-4172
"CYRIB","Promoter (1-2kb)",1316
"STARD13","Exon (ENST00000336934.10/90627, exon 12 of 14)",3082
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",-76587
"ZNF469","Distal Intergenic",-12487
"CCNA2","Promoter (<=1kb)",795
"TACR2","Promoter (<=1kb)",239
"MYBL2","Distal Intergenic",-8726
"CADM3-AS1","Exon (ENST00000415675.3/100131825, exon 4 of 4)",4210
"WDFY2","Promoter (<=1kb)",0
"PTH1R","Exon (ENST00000449590.6/5745, exon 6 of 16)",-4612
"SORBS1","Promoter (2-3kb)",2131
"SYNE1","Intron (ENST00000423061.6/23345, intron 12 of 145)",-13077
"JPH2","3' UTR",-9186
"IQCN","Distal Intergenic",-3003
"ACVRL1","Promoter (<=1kb)",792
"IFFO2","Intron (ENST00000455833.7/126917, intron 1 of 8)",5337
"CARHSP1","Promoter (2-3kb)",-2032
"PPP1R12B","Intron (ENST00000608999.6/4660, intron 19 of 23)",3589
"LDB2","Intron (ENST00000515064.5/9079, intron 1 of 7)",-5334
"MAOA","Distal Intergenic",-186751
"GRIK3","Promoter (1-2kb)",-1563
"PKHD1L1","Intron (ENST00000378402.10/93035, intron 18 of 77)",46403
"RNFT2","Intron (ENST00000392549.7/84900, intron 6 of 11)",13566
"DLG5","Intron (ENST00000475613.6/9231, intron 1 of 21)",-6926
"ANK2","Promoter (1-2kb)",-1415
"CHEK2","Promoter (<=1kb)",0
"MSRB3","Intron (ENST00000355192.8/253827, intron 1 of 5)",-4011
"BAMBI","Promoter (2-3kb)",2620
"SYNPO2","3' UTR",12501
"SHC3","Intron (ENST00000375835.9/53358, intron 7 of 11)",-6522
"CCNE1","Distal Intergenic",50455
"CSMD2","Intron (ENST00000373381.9/114784, intron 15 of 70)",-26173
"LONRF2","Promoter (<=1kb)",916
"PHYHIP","Promoter (2-3kb)",-2054
"PDGFRA","Intron (ENST00000507166.5/5156, intron 12 of 23)",-36176
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",16415
"ABLIM1","Intron (ENST00000392955.8/3983, intron 12 of 22)",8958
"ABCA8","Intron (ENST00000586539.6/10351, intron 17 of 39)",7964
"FER","Promoter (<=1kb)",0
"IGFN1","Distal Intergenic",16700
"JAM2","Promoter (1-2kb)",-1391
"CAB39L","Promoter (1-2kb)",-1056
"DUSP9","Distal Intergenic",4638
"IL33","Distal Intergenic",-18146
"SBK1","Intron (ENST00000671413.3/388228, intron 1 of 3)",18408
"IL2RB","3' UTR",9210
"E2F1","Promoter (<=1kb)",-149
"BARX2","Promoter (<=1kb)",123
"SYBU","Promoter (<=1kb)",0
"PKHD1L1","Intron (ENST00000378402.10/93035, intron 12 of 77)",37338
"PROS1","Distal Intergenic",18677
"TSHZ2","Intron (ENST00000371497.10/128553, intron 1 of 2)",-25431
"PPP1R15A","Promoter (<=1kb)",431
"ERBB4","Intron (ENST00000342788.9/2066, intron 5 of 27)",-80030
"CAB39L","Promoter (<=1kb)",0
"RFX2","Intron (ENST00000303657.10/5990, intron 1 of 17)",9639
"VAV3","Promoter (<=1kb)",645
"SMG5","Promoter (<=1kb)",0
"MAST4","Intron (ENST00000406374.5/375449, intron 3 of 5)",35722
"VGLL1","Distal Intergenic",-12812
"THSD4","Intron (ENST00000355327.7/79875, intron 7 of 17)",-77537
"GALNT16","Intron (ENST00000554317.5/57452, intron 2 of 2)",-10268
"ELOVL3","Exon (ENST00000370002.8/5309, exon 4 of 4)",4647
"ABLIM1","Intron (ENST00000392955.8/3983, intron 4 of 22)",-23810
"DEFB1","Exon (ENST00000514593.2/ENST00000514593.2, exon 1 of 1)",-21207
"SH3BGRL2","Exon (ENST00000718097.1/83699, exon 3 of 3)",-44447
"EVA1C","Promoter (2-3kb)",-2373
"SIX2","Exon (ENST00000736057.1/ENST00000736057.1, exon 1 of 3)",-4676
"ALS2CL","Distal Intergenic",10611
"JAKMIP1","Promoter (2-3kb)",2129
"FER","Intron (ENST00000281092.9/2241, intron 10 of 19)",-4369
"LOC124900989","Intron (ENST00000824927.1/ENST00000824927.1, intron 2 of 2)",-9370
"HYAL1","Promoter (<=1kb)",287
"CLSPN","Promoter (<=1kb)",363
"PGAP6","Promoter (<=1kb)",113
"FGFRL1","Promoter (2-3kb)",2822
"SSPN","Intron (ENST00000538142.5/8082, intron 1 of 2)",-7560
"COL28A1","Distal Intergenic",29119
"TRPC6","Intron (ENST00000526713.1/7225, intron 1 of 1)",11498
"SUN1","Promoter (1-2kb)",1470
"MIR99AHG","Promoter (<=1kb)",0
"COL28A1","Distal Intergenic",7249
"PTPN21","Intron (ENST00000556406.5/55812, intron 4 of 4)",6012
"H3C2","Promoter (<=1kb)",0
"GRIK3","Intron (ENST00000373091.8/2899, intron 2 of 15)",-26450
"CHP2","Distal Intergenic",-11935
"CREB5","Promoter (<=1kb)",-115
"RYR3","Intron (ENST00000415757.7/6263, intron 18 of 102)",-19527
"HMCN2","Exon (ENST00000683500.2/256158, exon 18 of 98)",13158
"RBMS3","Intron (ENST00000770376.1/ENST00000770376.1, intron 2 of 2)",54249
"HSPB7","Promoter (<=1kb)",15
"ARHGAP6","Intron (ENST00000495242.5/395, intron 1 of 14)",-115568
"LOC105369315","Promoter (<=1kb)",616
"ACAN","Promoter (1-2kb)",-1751
"COL21A1","Intron (ENST00000370819.5/81578, intron 1 of 28)",-45081
"KRT77","Exon (ENST00000549467.2/ENST00000549467.2, exon 6 of 6)",-11954
"MYOCD","Promoter (1-2kb)",1226
"FAM222A","Promoter (<=1kb)",-16
"NTRK2","Intron (ENST00000689651.1/4915, intron 4 of 13)",-8082
"CSMD2","Intron (ENST00000373381.9/114784, intron 1 of 70)",51005
"PKHD1L1","Intron (ENST00000378402.10/93035, intron 2 of 77)",3824
"LDLRAD1","Distal Intergenic",25794
"TOP2A","Promoter (<=1kb)",287
"FAM78A","Distal Intergenic",11850
"GRIK3","Distal Intergenic",-3799
"GSTM5","3' UTR",-7271
"ABLIM1","Exon (ENST00000392955.8/3983, exon 22 of 23)",3039
"SYNE3","Exon (ENST00000663212.1/ENST00000663212.1, exon 1 of 1)",-7606
"EBF1","Intron (ENST00000519890.5/1879, intron 6 of 11)",-62563
"FAM222A","Intron (ENST00000538780.2/84915, intron 1 of 2)",4665
"TNS1","3' UTR",8771
"LONRF2","Exon (ENST00000777559.1/ENST00000777559.1, exon 1 of 2)",17154
"SYBU","Intron (ENST00000532779.5/55638, intron 1 of 5)",13740
"ACADVL","Promoter (<=1kb)",-101
"GABBR2","Intron (ENST00000259455.4/9568, intron 7 of 18)",-21406
"ASRGL1","Intron (ENST00000415229.6/80150, intron 4 of 6)",-12712
"COL22A1","Distal Intergenic",-334075
"TACC1","Promoter (<=1kb)",23
"ABCD1","Promoter (<=1kb)",6
"IRF7","Promoter (1-2kb)",1189
"GABBR2","Intron (ENST00000259455.4/9568, intron 7 of 18)",-30400
"MAST4","Intron (ENST00000406374.5/375449, intron 2 of 5)",10542
"ADCY5","Promoter (<=1kb)",338
"LTBP4","Promoter (1-2kb)",1282
"MCC","Promoter (<=1kb)",-794
"S100P","Promoter (2-3kb)",2146
"SPART","Distal Intergenic",-25184
"SH3PXD2A","Promoter (2-3kb)",-2960
"KRT5","Intron (ENST00000794060.1/ENST00000794060.1, intron 3 of 3)",-14159
"PTH1R","Intron (ENST00000718454.1/151903, intron 2 of 6)",30099
"SLC35C1","Promoter (<=1kb)",-9
"TWIST2","Intron (ENST00000448943.2/117581, intron 1 of 1)",27036
"MAOB","Intron (ENST00000378069.5/4129, intron 3 of 14)",68049
"SMG5","Promoter (1-2kb)",1209
"MEIS1","Promoter (<=1kb)",145
"TENM2","Intron (ENST00000518659.6/57451, intron 1 of 30)",70078
"GABBR2","Intron (ENST00000259455.4/9568, intron 2 of 18)",7119
"ZBTB16","3' UTR",5244
"PAPPA","Intron (ENST00000328252.4/5069, intron 1 of 21)",9785
"RPP25","Promoter (<=1kb)",323
"KCNQ5","Distal Intergenic",-60488
"MYOF","Intron (ENST00000737465.1/ENST00000737465.1, intron 1 of 3)",102448
"LAPTM5","Distal Intergenic",-11472
"GNB4","3' UTR",15546
"VGF","Promoter (1-2kb)",-1624
"LMNB1","Intron (ENST00000460265.5/4001, intron 1 of 11)",-9463
"PALM","Intron (ENST00000338448.10/5064, intron 8 of 8)",6566
"ZNF469","Distal Intergenic",-44462
"LINC01940","Distal Intergenic",-19529
"FCGR3A","Intron (ENST00000537821.2/2212, intron 3 of 4)",9190
"COL11A1","Intron (ENST00000358392.6/1301, intron 36 of 66)",-7891
"PAX5","Intron (ENST00000358127.9/5079, intron 5 of 9)",-13674
"PRKG1","Intron (ENST00000401604.8/5592, intron 2 of 17)",-44806
"DOK3","Promoter (1-2kb)",1334
"HMCN2","Intron (ENST00000683500.2/256158, intron 15 of 97)",7456
"PER1","Promoter (<=1kb)",-255
"CYP4F12","Distal Intergenic",21097
"COL14A1","Promoter (<=1kb)",340
"DHRS12","3' UTR",6658
"TACC1","Promoter (<=1kb)",-353
"ZBTB16","Intron (ENST00000682278.1/7704, intron 5 of 7)",12969
"COL17A1","Promoter (<=1kb)",-144
"AKAP6","Intron (ENST00000280979.9/9472, intron 1 of 13)",-50131
"FAM107A","Promoter (1-2kb)",1469
"SH3BGRL2","Intron (ENST00000718098.1/83699, intron 3 of 4)",63373
"CACNA1G","Intron (ENST00000359106.10/8913, intron 21 of 37)",3679
"ISG15","Promoter (1-2kb)",1945
"NUP210","Intron (ENST00000254508.7/23225, intron 1 of 39)",3500
"GAS7","Promoter (<=1kb)",0
"USB1","3' UTR",3846
"MOB3B","3' UTR",-6040
"TIPARP","Promoter (<=1kb)",0
"TSHZ2","Promoter (1-2kb)",1457
"AOX1","Intron (ENST00000357799.9/151246, intron 8 of 8)",-9742
"SLC16A9","Intron (ENST00000395348.8/220963, intron 1 of 5)",8483
"MEG3","Distal Intergenic",-8735
"PCDH17","Distal Intergenic",-4910
"DHRS12","Promoter (1-2kb)",1968
"ANK2","Distal Intergenic",-51295
"CSMD2","Intron (ENST00000373381.9/114784, intron 1 of 70)",8186
"TRIB3","Promoter (<=1kb)",-19
"RFX5","Promoter (<=1kb)",218
"LOC105375587","Distal Intergenic",-5471
"NXNL2","Distal Intergenic",55482
"MYL9","Exon (ENST00000279022.7/10398, exon 3 of 4)",6576
"JAKMIP1","Intron (ENST00000531445.3/389197, intron 8 of 33)",-6270
"ADGRD1","Intron (ENST00000261654.10/283383, intron 18 of 24)",-4067
"TEAD1","Intron (ENST00000527636.7/7003, intron 3 of 12)",-13088
"LORICRIN","Distal Intergenic",-20839
"PRDM16","Intron (ENST00000511072.5/63976, intron 15 of 15)",6098
"ALDH1A2","Intron (ENST00000558239.5/8854, intron 2 of 3)",-29491
"CWH43","Distal Intergenic",-38189
"MCM10","Intron (ENST00000378714.8/55388, intron 18 of 19)",7872
"CLMP","Intron (ENST00000448775.4/79827, intron 1 of 6)",28957
"CACNB2","Intron (ENST00000324631.13/783, intron 2 of 13)",-43897
"DPYSL5","Distal Intergenic",-6476
"TOP2A","Distal Intergenic",-5500
"KIF26B","Intron (ENST00000407071.7/55083, intron 4 of 14)",-7113
"AHNAK2","Promoter (2-3kb)",2373
"ADA2","Promoter (1-2kb)",-1535
"SLC39A2","Intron (ENST00000647921.1/101929718, intron 1 of 4)",6603
"PTH1R","Distal Intergenic",5603
"TENM2","Intron (ENST00000518659.6/57451, intron 9 of 30)",-85645
"AOX1","Intron (ENST00000374700.7/316, intron 16 of 34)",9354
"SLC4A3","3' UTR",4842
"TFPI","Distal Intergenic",-93229
"DGKG","Promoter (<=1kb)",19
"KIF26B","Intron (ENST00000407071.7/55083, intron 2 of 14)",-30671
"PARVA","Intron (ENST00000334956.15/55742, intron 4 of 12)",11663
"MYLK","Intron (ENST00000360772.7/4638, intron 14 of 33)",16348
"CACNA1B","Intron (ENST00000371372.6/774, intron 18 of 46)",-53250
"SPARCL1","Distal Intergenic",-12824
"ARMCX4","Intron (ENST00000433011.6/100131755, intron 4 of 15)",-22066
"PARP1","Intron (ENST00000366794.10/142, intron 1 of 22)",4258
"ATP10B","Promoter (<=1kb)",-405
"MELK","Promoter (2-3kb)",2976
"DLGAP5","Intron (ENST00000395425.6/9787, intron 13 of 19)",-8432
"DCT","Distal Intergenic",51158
"KIF26B","Intron (ENST00000407071.7/55083, intron 4 of 14)",-17633
"LOC105378781","Intron (ENST00000835198.1/105378781, intron 2 of 3)",7061
"DSC1","Intron (ENST00000715887.1/101927698, intron 3 of 4)",-7546
"FILIP1","Intron (ENST00000625815.2/ENST00000625815.2, intron 2 of 4)",-5130
"CDR2L","Promoter (<=1kb)",544
"MCAM","3' UTR",3477
"TACC2","Exon (ENST00000492689.5/10579, exon 3 of 3)",29704
"DNAH11","Intron (ENST00000409508.8/8701, intron 6 of 81)",7764
"SLIT2","Intron (ENST00000815627.1/105374514, intron 2 of 3)",-3510
"LOC107986925","Intron (ENST00000523627.1/124901908, intron 4 of 4)",38100
"CITED2","Promoter (<=1kb)",-822
"GABBR2","Intron (ENST00000259455.4/9568, intron 7 of 18)",-53344
"TEAD1","Intron (ENST00000527636.7/7003, intron 2 of 12)",-66741
"CREB5","Distal Intergenic",-26636
"NBEA","Promoter (2-3kb)",-2417
"ABLIM1","Intron (ENST00000392955.8/3983, intron 4 of 22)",-21867
"CSTA","Distal Intergenic",-19110
"PTH1R","Intron (ENST00000718454.1/151903, intron 2 of 6)",32982
"LMNB1","Distal Intergenic",26300
"KLF4","Distal Intergenic",7094
"PLCD1","Promoter (<=1kb)",277
"DNMBP","Promoter (<=1kb)",-16
"NUP210","Promoter (<=1kb)",232
"ALS2CL","Promoter (<=1kb)",116
"PLSCR4","Distal Intergenic",-76080
"CDH2","Distal Intergenic",-11540
"PLPP3","Promoter (<=1kb)",-98
"PLD1","Distal Intergenic",-3303
"CDC6","Promoter (<=1kb)",489
"TACC2","Promoter (<=1kb)",-119
"CDHR1","Promoter (<=1kb)",-292
