"seqnames","start","end","annotation","distanceToTSS","SYMBOL","GENENAME"
"chr7",50335823,50336062,"Intron (ENST00000698573.1/10320, intron 3 of 4)",8174,"IKZF1","IKAROS family zinc finger 1"
"chr4",8309349,8309588,"Distal Intergenic",-10517,"LINC02517","long intergenic non-protein coding RNA 2517"
"chr9",99563436,99563675,"Intron (ENST00000671436.1/124902233, intron 2 of 3)",-30109,"LOC124902236","uncharacterized LOC124902236"
"chr6",11460454,11460693,"Intron (ENST00000665550.1/105374928, intron 1 of 3)",-19599,"LOC105374928","uncharacterized LOC105374928"
"chr16",83113373,83113612,"Intron (ENST00000268613.14/1012, intron 4 of 14)",-120885,"LOC101928417","uncharacterized LOC101928417"
"chr7",24767975,24768214,"Promoter (1-2kb)",1087,"GSDME","gasdermin E"
"chr7",48424834,48425073,"Intron (ENST00000435803.6/154664, intron 41 of 61)",-29990,"ABCA13","ATP binding cassette subfamily A member 13"
"chr2",148936936,148937175,"Promoter (2-3kb)",2795,"KIF5C","kinesin family member 5C"
"chr7",69119407,69119646,"Distal Intergenic",53229,"LOC105375344","uncharacterized LOC105375344"
"chr8",76842017,76842256,"Intron (ENST00000651372.2/79776, intron 5 of 10)",-7544,"ZFHX4","zinc finger homeobox 4"
"chr11",41431847,41432086,"Intron (ENST00000528697.6/57689, intron 1 of 6)",27550,"LRRC4C","leucine rich repeat containing 4C"
"chr16",8231814,8232053,"Distal Intergenic",-119058,"LOC105371069","uncharacterized LOC105371069"
"chr3",13776351,13776590,"Distal Intergenic",58795,"LINC00620","long intergenic non-protein coding RNA 620"
"chr1",184035764,184036003,"Promoter (1-2kb)",1725,"COLGALT2","collagen beta(1-O)galactosyltransferase 2"
"chr2",16630507,16630746,"Intron (ENST00000381323.7/81553, intron 1 of 11)",35082,"CYRIA","CYFIP related Rac1 interactor A"
"chr15",99409101,99409340,"Intron (ENST00000813862.1/124903562, intron 2 of 3)",-5262,"LINC02244","long intergenic non-protein coding RNA 2244"
"chr5",103942673,103942912,"Distal Intergenic",-51240,"LOC101930276","uncharacterized LOC101930276"
"chr1",3410203,3410442,"Intron (ENST00000511072.5/63976, intron 8 of 15)",13712,"PRDM16","PR/SET domain 16"
"chr16",5239583,5239822,"Promoter (<=1kb)",0,"RBFOX1","RNA binding fox-1 homolog 1"
"chr16",31711301,31711540,"Promoter (1-2kb)",-1689,"KRABD5","KRAB domain containing 5"
"chr16",6726008,6726247,"Intron (ENST00000569895.3/54715, intron 6 of 6)",-47562,"RBFOX1","RNA binding fox-1 homolog 1"
"chr3",67657234,67657473,"Promoter (2-3kb)",2187,"SUCLG2-DT","SUCLG2 divergent transcript"
"chr2",172102914,172103153,"Promoter (<=1kb)",0,"DLX2-DT","DLX2 divergent transcript"
"chr6",25747031,25747270,"Distal Intergenic",-7429,"SLC17A4","solute carrier family 17 member 4"
"chr20",2752230,2752469,"Promoter (<=1kb)",-27,"EBF4","EBF family member 4"
"chr3",72086365,72086604,"Intron (ENST00000666244.1/285286, intron 1 of 6)",13508,"LINC00877","long intergenic non-protein coding RNA 877"
"chr19",28598914,28599153,"Intron (ENST00000592347.5/100420587, intron 5 of 9)",-7535,"ERVE-5","endogenous retrovirus group E member 5"
"chr7",37558362,37558601,"Distal Intergenic",-109139,"ELMO1","engulfment and cell motility 1"
"chr1",51520318,51520557,"Promoter (<=1kb)",-133,"EPS15-AS1","EPS15 antisense RNA 1"
"chr10",70920768,70921007,"Promoter (2-3kb)",2002,"LINC02622","long intergenic non-protein coding RNA 2622"
"chrX",70132315,70132554,"Promoter (<=1kb)",-893,"IGBP1","immunoglobulin binding protein 1"
"chr12",51083463,51083702,"Promoter (<=1kb)",0,"CSRNP2","cysteine and serine rich nuclear protein 2"
"chr21",38696703,38696942,"Distal Intergenic",-34923,"ERG","ETS transcription factor ERG"
"chr5",17100022,17100261,"Intron (ENST00000606445.1/10409, intron 2 of 3)",23598,"LOC124900947","uncharacterized LOC124900947"
"chr4",1568288,1568527,"Distal Intergenic",12037,"FAM53A","family with sequence similarity 53 member A"
"chr20",31723327,31723566,"Promoter (<=1kb)",0,"BCL2L1","BCL2 like 1"
"chr13",113820773,113821012,"3' UTR",5143,"GAS6-AS1","GAS6 antisense RNA 1"
"chr8",46435065,46435304,"Distal Intergenic",179219,"ASNSP1","ASNS pseudogene 1"
"chr5",38443472,38443711,"Promoter (1-2kb)",-1809,"EGFLAM","EGF like, fibronectin type III and laminin G domains"
"chr4",108611412,108611651,"Intron (ENST00000507248.2/285456, intron 1 of 3)",8735,"RPL34-DT","RPL34 divergent transcript"
"chr10",97445868,97446107,"Promoter (<=1kb)",0,"EXOSC1","exosome component 1"
"chr1",240455295,240455534,"Promoter (1-2kb)",-1959,"FMN2","formin 2"
"chr4",144754910,144755149,"Intron (ENST00000650526.1/2993, intron 2 of 14)",20043,"HHIP","hedgehog interacting protein"
"chr20",31569155,31569394,"3' UTR",3001,"HM13","histocompatibility minor 13"
"chr9",137304639,137304878,"Promoter (2-3kb)",-2368,"NRARP","NOTCH regulated ankyrin repeat protein"
"chr3",24197907,24198146,"Intron (ENST00000806993.1/101927854, intron 3 of 3)",-32312,"THRB","thyroid hormone receptor beta"
"chr11",65398586,65398825,"Intron (ENST00000355991.9/83786, intron 6 of 9)",4324,"FRMD8","FERM domain containing 8"
"chr4",102827944,102828183,"Promoter (<=1kb)",0,"UBE2D3-AS1","UBE2D3 antisense RNA 1"
"chr10",96043415,96043654,"Promoter (<=1kb)",0,"CCNJ","cyclin J"
"chr20",48405955,48406194,"Distal Intergenic",40308,"LINC00494","long intergenic non-protein coding RNA 494"
"chr10",50624406,50624645,"Promoter (<=1kb)",-271,"SGMS1-AS1","SGMS1 antisense RNA 1"
"chr17",81891812,81892051,"Promoter (<=1kb)",0,"ANAPC11","anaphase promoting complex subunit 11"
"chr20",52219527,52219766,"Intron (ENST00000656056.1/105372666, intron 1 of 3)",8863,"LOC105372666","uncharacterized LOC105372666"
"chr18",22451833,22452072,"Promoter (1-2kb)",-1664,"LOC124904261","uncharacterized LOC124904261"
"chrX",72242021,72242260,"Promoter (2-3kb)",-2994,"ERCC6L","ERCC excision repair 6 like, spindle assembly checkpoint helicase"
"chr2",20755213,20755452,"Intron (ENST00000435420.6/60526, intron 3 of 5)",-15222,"LDAH","lipid droplet associated hydrolase"
"chr11",69662065,69662304,"Intron (ENST00000538554.6/220064, intron 4 of 6)",5708,"LTO1","LTO1 maturation factor of ABCE1"
"chr22",37634017,37634256,"Promoter (<=1kb)",-398,"SH3BP1","SH3 domain binding protein 1"
"chr15",44428399,44428638,"Promoter (<=1kb)",585,"CTDSPL2","CTD small phosphatase like 2"
"chr11",62981772,62982011,"Promoter (1-2kb)",1881,"SLC22A6","solute carrier family 22 member 6"
"chr6",108570612,108570851,"Intron (ENST00000343882.10/2309, intron 2 of 3)",4991,"FOXO3","forkhead box O3"
"chr11",65638444,65638683,"Promoter (<=1kb)",292,"SIPA1","signal-induced proliferation-associated 1"
"chrX",112368476,112368715,"Intron (ENST00000695839.1/340595, intron 3 of 4)",94004,"RTL4","retrotransposon Gag like 4"
"chr12",43914943,43915182,"Intron (ENST00000266534.8/84216, intron 2 of 7)",70092,"TMEM117","transmembrane protein 117"
"chr10",59633115,59633354,"Intron (ENST00000644636.1/105378319, intron 6 of 6)",38163,"LOC105378319","uncharacterized LOC105378319"
"chr11",46345086,46345325,"Promoter (<=1kb)",0,"DGKZ","diacylglycerol kinase zeta"
"chr15",90558227,90558466,"Intron (ENST00000268184.11/64784, intron 2 of 14)",18145,"CRTC3","CREB regulated transcription coactivator 3"
"chr17",48027992,48028231,"Promoter (<=1kb)",329,"COPZ2","coat protein complex I subunit zeta 2"
"chr17",30372810,30373049,"Distal Intergenic",-5878,"CPD","carboxypeptidase D"
"chr7",137976751,137976990,"Intron (ENST00000330387.11/64764, intron 1 of 11)",23403,"CREB3L2-AS1","CREB3L2 antisense RNA 1"
"chr15",82562866,82563105,"Intron (ENST00000562833.2/64506, intron 1 of 12)",-6330,"CPEB1","cytoplasmic polyadenylation element binding protein 1"
"chr12",110124321,110124560,"Promoter (<=1kb)",0,"IFT81","intraflagellar transport 81"
"chr7",151736640,151736879,"Promoter (<=1kb)",-326,"PRKAG2","protein kinase AMP-activated non-catalytic subunit gamma 2"
"chr3",52153557,52153796,"Promoter (<=1kb)",608,"POC1A","POC1 centriolar protein A"
"chr10",123144911,123145150,"Promoter (2-3kb)",-2986,"HMX2","H6 family homeobox 2"
"chr8",1701352,1701591,"3' UTR",22981,"DLGAP2","DLG associated protein 2"
"chr5",8043023,8043262,"Intron (ENST00000723339.1/ENST00000723339.1, intron 2 of 2)",-17726,"LOC102723339","uncharacterized LOC102723339"
"chr5",78492276,78492515,"Promoter (<=1kb)",-970,"LHFPL2","LHFPL tetraspan subfamily member 2"
"chrX",1060336,1060575,"Distal Intergenic",152059,"CRLF2","cytokine receptor like factor 2"
"chr16",70695787,70696026,"Promoter (<=1kb)",0,"VAC14","VAC14 component of PIKFYVE complex"
"chr6",152356741,152356980,"Intron (ENST00000423061.6/23345, intron 66 of 145)",16156,"SYNE1","spectrin repeat containing nuclear envelope protein 1"
"chr3",84318500,84318739,"Distal Intergenic",364820,"LOC105377188","uncharacterized LOC105377188"
"chr11",70270360,70270599,"Promoter (<=1kb)",-91,"PPFIA1","PPFI scaffold protein A1"
"chr11",460567,460806,"Promoter (1-2kb)",1893,"PTDSS2","phosphatidylserine synthase 2"
"chr2",69493415,69493654,"Intron (ENST00000409085.9/22848, intron 17 of 21)",15608,"AAK1","AP2 associated kinase 1"
"chr16",15022255,15022494,"Promoter (2-3kb)",-2730,"PDXDC1","pyridoxal dependent decarboxylase domain containing 1"
"chr3",31699380,31699619,"Promoter (2-3kb)",2852,"OSBPL10","oxysterol binding protein like 10"
"chr3",124827507,124827746,"Intron (ENST00000296181.9/3693, intron 5 of 14)",5274,"ITGB5","integrin subunit beta 5"
"chr1",167060583,167060822,"Intron (ENST00000527955.5/10223, intron 4 of 6)",8043,"GPA33-AS1","GPA33 antisense RNA 1"
"chr10",88118314,88118553,"Promoter (1-2kb)",-1729,"LOC105378416","uncharacterized LOC105378416"
"chr3",118636914,118637153,"Exon (ENST00000834208.1/ENST00000834208.1, exon 3 of 4)",-4584,"LOC101926968","uncharacterized LOC101926968"
"chr2",30134628,30134867,"Intron (ENST00000769926.1/ENST00000769926.1, intron 2 of 4)",-12074,"YPEL5","yippee like 5"
"chrX",48466679,48466918,"Promoter (<=1kb)",0,"SLC38A5","solute carrier family 38 member 5"
"chr19",45270058,45270297,"Promoter (1-2kb)",-1179,"MARK4","microtubule affinity regulating kinase 4"
"chr20",18431317,18431556,"Promoter (2-3kb)",2209,"DZANK1","double zinc ribbon and ankyrin repeat domains 1"
"chr20",25692589,25692828,"Intron (ENST00000252979.6/26152, intron 1 of 4)",3987,"ZNF337","zinc finger protein 337"
"chr7",92880557,92880796,"Intron (ENST00000752970.1/101927497, intron 2 of 2)",-23886,"CDK6-AS1","CDK6 antisense RNA 1"
"chr9",132644411,132644650,"Intron (ENST00000372159.8/64794, intron 13 of 19)",25333,"DDX31","DEAD-box helicase 31"
"chr4",85659176,85659415,"Intron (ENST00000395184.6/83478, intron 2 of 9)",55023,"ARHGAP24","Rho GTPase activating protein 24"
"chr3",40642827,40643066,"Intron (ENST00000720933.1/ENST00000720933.1, intron 3 of 3)",18932,"LOC124906229","uncharacterized LOC124906229"
"chr2",86244346,86244585,"Intron (ENST00000538924.7/65055, intron 5 of 8)",10433,"REEP1","receptor accessory protein 1"
"chr12",83262067,83262306,"Distal Intergenic",210126,"LOC105369874","uncharacterized LOC105369874"
"chr15",64381168,64381407,"Promoter (<=1kb)",9,"CSNK1G1","casein kinase 1 gamma 1"
"chr10",209450,209689,"Intron (ENST00000704295.1/10771, intron 2 of 13)",29431,"ZMYND11","zinc finger MYND-type containing 11"
"chr4",187416793,187417032,"Intron (ENST00000795561.1/107986335, intron 1 of 3)",8032,"LINC02515","long intergenic non-protein coding RNA 2515"
"chrX",74535372,74535611,"Distal Intergenic",14252,"SLC16A2","solute carrier family 16 member 2"
"chr1",18921592,18921831,"Intron (ENST00000455833.7/126917, intron 1 of 8)",-9600,"IFFO2","intermediate filament family orphan 2"
"chr1",11248182,11248421,"Promoter (<=1kb)",-278,"MTOR","mechanistic target of rapamycin kinase"
"chr7",121089348,121089587,"Intron (ENST00000310396.10/79974, intron 5 of 22)",12770,"CPED1","cadherin like and PC-esterase domain containing 1"
"chr7",43211394,43211633,"Intron (ENST00000490954.2/23072, intron 1 of 1)",-36954,"HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1"
"chr11",68869679,68869918,"Promoter (<=1kb)",-746,"LINC02701","long intergenic non-protein coding RNA 2701"
"chr10",70434213,70434452,"Intron (ENST00000287139.8/4838, intron 2 of 2)",7229,"NODAL","nodal growth differentiation factor"
"chr17",69046183,69046422,"Promoter (2-3kb)",2935,"ABCA9","ATP binding cassette subfamily A member 9"
"chr7",39075259,39075498,"Intron (ENST00000518318.7/11281, intron 1 of 9)",-8063,"POU6F2","POU class 6 homeobox 2"
"chr6",142807308,142807547,"Intron (ENST00000012134.7/3097, intron 2 of 8)",29500,"HIVEP2","HIVEP zinc finger 2"
"chr10",107023053,107023292,"Intron (ENST00000263054.11/114815, intron 1 of 25)",141414,"SORCS1","sortilin related VPS10 domain containing receptor 1"
"chr20",60453929,60454168,"Intron (ENST00000668055.1/284757, intron 3 of 4)",16553,"LOC101928048","uncharacterized LOC101928048"
"chr2",222317994,222318233,"Promoter (<=1kb)",-42,"CT75","cancer/testis associated transcript 75"
"chr19",10836276,10836515,"Promoter (<=1kb)",0,"TMED1","transmembrane p24 trafficking protein 1"
"chrX",107676750,107676989,"Exon (ENST00000723190.1/ENST00000723190.1, exon 1 of 3)",29144,"PRPS1","phosphoribosyl pyrophosphate synthetase 1"
"chr1",204478575,204478814,"Intron (ENST00000367187.7/5287, intron 2 of 33)",-9358,"PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta"
"chr12",1577832,1578071,"Intron (ENST00000539198.5/81029, intron 1 of 3)",3175,"WNT5B","Wnt family member 5B"
"chr15",29089741,29089980,"Intron (ENST00000561069.5/321, intron 6 of 14)",19083,"APBA2","amyloid beta precursor protein binding family A member 2"
"chr11",22540079,22540318,"Intron (ENST00000812888.1/ENST00000812888.1, intron 1 of 3)",31466,"LOC105376588","uncharacterized LOC105376588"
"chr8",100720760,100720999,"Promoter (<=1kb)",170,"PABPC1","poly(A) binding protein cytoplasmic 1"
"chr18",52288453,52288692,"Intron (ENST00000650572.1/ENST00000650572.1, intron 1 of 2)",-51505,"DCC","DCC netrin 1 receptor"
"chr12",8680610,8680849,"Promoter (<=1kb)",-751,"RIMKLB","ribosomal modification protein rimK like family member B"
"chr11",79708364,79708603,"Intron (ENST00000789891.1/ENST00000789891.1, intron 1 of 1)",-267334,"TENM4","teneurin transmembrane protein 4"
"chr2",46298668,46298907,"Promoter (<=1kb)",904,"EPAS1","endothelial PAS domain protein 1"
"chr14",89082636,89082875,"Distal Intergenic",41075,"LOC105370615","uncharacterized LOC105370615"
"chr15",82124443,82124682,"Distal Intergenic",35414,"EFL1","elongation factor like GTPase 1"
"chr16",1150765,1151004,"Promoter (2-3kb)",-2099,"CACNA1H","calcium voltage-gated channel subunit alpha1 H"
"chr7",37918591,37918830,"Promoter (1-2kb)",-1774,"SFRP4","secreted frizzled related protein 4"
"chr6",31560447,31560686,"Exon (ENST00000691266.2/100287329, exon 2 of 2)",-11368,"LTA","lymphotoxin alpha"
"chr8",125528958,125529197,"Intron (ENST00000522815.1/130406855, intron 2 of 3)",9304,"LINC02964","long intergenic non-protein coding RNA 2964"
"chr8",144078367,144078606,"Promoter (<=1kb)",-36,"EXOSC4","exosome component 4"
"chr16",84879889,84880128,"Intron (ENST00000262424.10/83716, intron 12 of 14)",-9116,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2"
"chr17",5667956,5668195,"Distal Intergenic",33355,"LOC124903903","uncharacterized LOC124903903"
"chr9",83992529,83992768,"Intron (ENST00000325875.7/80010, intron 1 of 2)",11724,"RMI1","RecQ mediated genome instability 1"
"chr7",75914930,75915169,"Promoter (<=1kb)",0,"POR","cytochrome p450 oxidoreductase"
"chr5",126971522,126971761,"Intron (ENST00000308660.6/115123, intron 1 of 4)",-53294,"MARCHF3","membrane associated ring-CH-type finger 3"
"chr2",46428888,46429127,"Promoter (<=1kb)",0,"LINC02583","long intergenic non-protein coding RNA 2583"
"chr10",86103852,86104091,"Intron (ENST00000327946.12/2894, intron 4 of 15)",160697,"MIR346","microRNA 346"
"chr3",10392336,10392575,"Promoter (1-2kb)",1987,"MIR885","microRNA 885"
"chr1",201543974,201544213,"Intron (ENST00000846697.1/107985246, intron 1 of 1)",4008,"NAV1","neuron navigator 1"
"chr7",74394660,74394899,"Intron (ENST00000223398.11/7461, intron 13 of 16)",-5583,"CLIP2","CAP-Gly domain containing linker protein 2"
"chr1",167553546,167553785,"Promoter (<=1kb)",0,"CREG1","cellular repressor of E1A stimulated genes 1"
"chr10",4174269,4174508,"Exon (ENST00000837760.1/105376368, exon 3 of 3)",19962,"LOC105376368","uncharacterized LOC105376368"
"chr1",12199534,12199773,"Intron (ENST00000376259.7/7133, intron 8 of 9)",7696,"TNFRSF1B","TNF receptor superfamily member 1B"
"chr10",102713690,102713929,"Promoter (<=1kb)",468,"ARL3","ARF like GTPase 3"
"chr13",102845803,102846042,"Promoter (<=1kb)",0,"ERCC5","ERCC excision repair 5, endonuclease"
"chr17",29619239,29619478,"Promoter (1-2kb)",-1122,"CORO6","coronin 6"
"chr8",10369220,10369459,"Intron (ENST00000317173.9/4482, intron 5 of 5)",67685,"MSRA","methionine sulfoxide reductase A"
"chr3",197379376,197379615,"Intron (ENST00000700789.1/ENST00000700789.1, intron 2 of 2)",42357,"LOC105374308","uncharacterized LOC105374308"
"chr15",94413020,94413259,"Intron (ENST00000357742.10/55784, intron 17 of 22)",13489,"MCTP2","multiple C2 and transmembrane domain containing 2"
"chr1",196029502,196029741,"Distal Intergenic",35497,"LINC01724","long intergenic non-protein coding RNA 1724"
"chrX",64093838,64094077,"Distal Intergenic",111631,"AMER1","APC membrane recruitment protein 1"
"chr7",66994761,66995000,"Promoter (<=1kb)",0,"SBDS","SBDS ribosome maturation factor"
"chr19",54173073,54173312,"Promoter (<=1kb)",0,"TMC4","transmembrane channel like 4"
"chr3",5122767,5123006,"Promoter (<=1kb)",471,"ARL8B","ARF like GTPase 8B"
"chr1",196059288,196059527,"Intron (ENST00000838221.1/105371673, intron 2 of 2)",5711,"LINC01724","long intergenic non-protein coding RNA 1724"
"chr17",80048924,80049163,"Promoter (<=1kb)",554,"CCDC40","coiled-coil domain 40 molecular ruler complex subunit"
"chr4",152706008,152706247,"Intron (ENST00000794332.1/105377495, intron 2 of 2)",25810,"LOC105377495","uncharacterized LOC105377495"
"chr18",30376606,30376845,"Intron (ENST00000657542.1/105372046, intron 3 of 3)",77696,"MIR302F","microRNA 302f"
"chr14",74907096,74907335,"Promoter (<=1kb)",122,"RPS6KL1","ribosomal protein S6 kinase like 1"
"chr4",82388537,82388776,"Intron (ENST00000843906.1/101928963, intron 1 of 2)",13930,"LOC124900890","small nucleolar RNA SNORD42"
"chr8",69556304,69556543,"Intron (ENST00000525061.5/23213, intron 3 of 4)",-6265,"SULF1","sulfatase 1"
"chr2",17918896,17919135,"Intron (ENST00000403915.5/3790, intron 2 of 2)",39513,"KCNS3","potassium voltage-gated channel modifier subfamily S member 3"
"chr15",67181474,67181713,"Promoter (<=1kb)",594,"SMAD3","SMAD family member 3"
"chr9",133784368,133784607,"Exon (ENST00000406606.7/7410, exon 16 of 27)",-44413,"SARDH","sarcosine dehydrogenase"
"chr6",16229393,16229632,"Distal Intergenic",-8955,"GMPR","guanosine monophosphate reductase"
"chr10",117968603,117968842,"Distal Intergenic",46268,"RAB11FIP2","RAB11 family interacting protein 2"
"chr11",88281414,88281653,"Intron (ENST00000678554.1/1075, intron 7 of 7)",27710,"CTSC","cathepsin C"
"chrX",40524490,40524729,"Distal Intergenic",-54643,"ATP6AP2","ATPase H+ transporting accessory protein 2"
"chr1",202210408,202210647,"Promoter (<=1kb)",-61,"LGR6","leucine rich repeat containing G protein-coupled receptor 6"
"chr8",89071716,89071955,"Distal Intergenic",246052,"LOC105375630","uncharacterized LOC105375630"
"chr3",139455881,139456120,"Intron (ENST00000662234.1/100507291, intron 3 of 7)",19185,"COPB2-DT","COPB2 divergent transcript"
"chr4",82679608,82679847,"Intron (ENST00000319540.9/79966, intron 3 of 4)",-57998,"LINC00575","long intergenic non-protein coding RNA 575"
"chr9",129887008,129887247,"3' UTR",7635,"USP20","ubiquitin specific peptidase 20"
"chr1",197224278,197224517,"Intron (ENST00000843830.1/23418, intron 1 of 2)",22751,"CRB1","crumbs cell polarity complex component 1"
"chr10",13277049,13277288,"Distal Intergenic",17699,"PHYH","phytanoyl-CoA 2-hydroxylase"
"chr1",58933653,58933892,"Promoter (<=1kb)",10,"LINC01358","long intergenic non-protein coding RNA 1358"
"chr15",52568776,52569015,"Promoter (<=1kb)",0,"ARPP19","cAMP regulated phosphoprotein 19"
"chr4",83489761,83490000,"Intron (ENST00000505489.5/84142, intron 1 of 6)",-4206,"ABRAXAS1","abraxas 1, BRCA1 A complex subunit"
"chr17",42009268,42009507,"Promoter (1-2kb)",1768,"DNAJC7","DnaJ heat shock protein family (Hsp40) member C7"
"chr1",233477458,233477697,"Distal Intergenic",101675,"MAP3K21","mitogen-activated protein kinase kinase kinase 21"
"chr8",8779723,8779962,"Exon (ENST00000765578.1/ENST00000765578.1, exon 1 of 4)",41902,"MFHAS1","multifunctional ROCO family signaling regulator 1"
"chr1",64584568,64584807,"Intron (ENST00000651257.2/57685, intron 3 of 26)",4721,"MIR4794","microRNA 4794"
"chr4",109658940,109659179,"Exon (ENST00000472310.5/55013, exon 2 of 5)",-12998,"LOC124900755","uncharacterized LOC124900755"
"chr22",26479105,26479344,"Promoter (<=1kb)",67,"HPS4","HPS4 biogenesis of lysosomal organelles complex 3 subunit 2"
"chr1",214341989,214342228,"Distal Intergenic",11012,"SMYD2","SET and MYND domain containing 2"
"chr16",81445456,81445695,"Promoter (<=1kb)",648,"CMIP","c-Maf inducing protein"
"chr6",40724135,40724374,"Intron (ENST00000771114.1/105375052, intron 3 of 4)",8621,"LOC105375052","uncharacterized LOC105375052"
"chr15",100433363,100433602,"Intron (ENST00000560643.1/102723320, intron 3 of 3)",33488,"CERS3-AS1","CERS3 antisense RNA 1"
"chr4",7333881,7334120,"Intron (ENST00000507866.6/57537, intron 1 of 26)",23431,"MIR4798","microRNA 4798"
"chr9",93826322,93826561,"Promoter (<=1kb)",0,"LOC101928014","uncharacterized LOC101928014"
"chr20",62860370,62860609,"Promoter (<=1kb)",-787,"LOC105372717","uncharacterized LOC105372717"
"chr19",13883758,13883997,"Promoter (<=1kb)",-158,"BRME1","break repair meiotic recombinase recruitment factor 1"
"chr12",106358436,106358675,"Promoter (<=1kb)",354,"POLR3B","RNA polymerase III subunit B"
"chr1",29677343,29677582,"Promoter (1-2kb)",-1536,"LOC107984934","uncharacterized LOC107984934"
"chr3",154323920,154324159,"Promoter (<=1kb)",92,"DHX36","DEAH-box helicase 36"
"chr20",18304694,18304933,"Intron (ENST00000396026.7/7692, intron 2 of 5)",6709,"ZNF133","zinc finger protein 133"
"chr2",10222234,10222473,"Distal Intergenic",-19757,"LOC105373424","uncharacterized LOC105373424"
"chr1",16613267,16613506,"Promoter (<=1kb)",0,"NBPF1","NBPF member 1"
"chr15",70636845,70637084,"Promoter (1-2kb)",1596,"SALRNA2","senescence associated long non-coding RNA 2"
"chr19",5666205,5666444,"Promoter (<=1kb)",-212,"SAFB","scaffold attachment factor B"
"chr20",62740491,62740730,"Intron (ENST00000370501.4/4923, intron 1 of 3)",-15901,"NTSR1","neurotensin receptor 1"
"chr7",85014976,85015215,"Exon (ENST00000284136.11/223117, exon 16 of 19)",26724,"SEMA3D","semaphorin 3D"
"chr1",198350534,198350773,"Distal Intergenic",72830,"NEK7","NIMA related kinase 7"
"chr19",29860510,29860749,"Distal Intergenic",38778,"CCNE1","cyclin E1"
"chr15",44550402,44550641,"Promoter (<=1kb)",-42,"EIF3J","eukaryotic translation initiation factor 3 subunit J"
"chr13",31043916,31044155,"Promoter (1-2kb)",1288,"LOC124903147","uncharacterized LOC124903147"
"chr16",28491401,28491640,"Promoter (<=1kb)",99,"CLN3","CLN3 lysosomal/endosomal transmembrane protein, battenin"
"chr13",21813162,21813401,"Promoter (<=1kb)",660,"LOC124903132","uncharacterized LOC124903132"
"chr3",186487891,186488130,"Intron (ENST00000427914.5/253573, intron 2 of 7)",4815,"LINC02052","long intergenic non-protein coding RNA 2052"
"chr1",205824325,205824564,"Intron (ENST00000656763.1/284581, intron 1 of 2)",5725,"PM20D1","peptidase M20 domain containing 1"
"chr2",105733338,105733577,"Intron (ENST00000720028.1/ENST00000720028.1, intron 1 of 1)",-11335,"NCK2","NCK adaptor protein 2"
"chr13",28376729,28376968,"Intron (ENST00000282397.9/2321, intron 14 of 29)",-30440,"FLT1","fms related receptor tyrosine kinase 1"
"chr7",141974910,141975149,"Promoter (1-2kb)",-1137,"TAS2R38","taste 2 receptor member 38"
"chr11",46966824,46967063,"Intron (ENST00000533124.5/79096, intron 1 of 2)",30044,"CSTPP1","centriolar satellite-associated tubulin polyglutamylase complex regulator 1"
"chr3",94101918,94102157,"Intron (ENST00000314622.9/63899, intron 5 of 5)",-38529,"DHFR2","dihydrofolate reductase 2"
"chr1",32223830,32224069,"Promoter (1-2kb)",1390,"EIF3I","eukaryotic translation initiation factor 3 subunit I"
"chr11",17548556,17548795,"Promoter (<=1kb)",379,"OTOG","otogelin"
"chr7",87507520,87507759,"Promoter (1-2kb)",-1379,"ABCB1","ATP binding cassette subfamily B member 1"
"chr10",61765673,61765912,"Intron (ENST00000648843.3/219621, intron 7 of 7)",32984,"LINC02625","long intergenic non-protein coding RNA 2625"
"chr3",90091684,90091923,"Intron (ENST00000808908.1/ENST00000808908.1, intron 1 of 1)",61400,"LOC124906381","small nucleolar RNA U3"
"chr3",47002644,47002883,"Promoter (<=1kb)",611,"NBEAL2","neurobeachin like 2"
"chr1",5992591,5992830,"Promoter (<=1kb)",0,"KCNAB2","potassium voltage-gated channel subfamily A regulatory beta subunit 2"
"chr8",4541961,4542200,"Intron (ENST00000635120.2/64478, intron 2 of 69)",452501,"CSMD1","CUB and Sushi multiple domains 1"
"chr3",11662455,11662694,"Intron (ENST00000273038.7/9686, intron 2 of 5)",-18540,"VGLL4","vestigial like family member 4"
"chr2",145919579,145919818,"Intron (ENST00000657021.1/105373666, intron 5 of 6)",47329,"LOC105373666","uncharacterized LOC105373666"
"chr2",175439459,175439698,"Intron (ENST00000444567.1/ENST00000444567.1, intron 2 of 2)",-29962,"LOC105373752","uncharacterized LOC105373752"
"chr2",86518563,86518802,"Intron (ENST00000263856.9/51652, intron 3 of 5)",-6028,"CHMP3","charged multivesicular body protein 3"
"chr1",221723135,221723374,"Intron (ENST00000366899.4/11221, intron 2 of 3)",-11319,"DUSP10","dual specificity phosphatase 10"
"chr7",5396510,5396749,"Intron (ENST00000399537.8/84629, intron 2 of 29)",-8481,"TNRC18","trinucleotide repeat containing 18"
"chr19",3526552,3526791,"Promoter (<=1kb)",452,"FZR1","fizzy and cell division cycle 20 related 1"
"chr5",57173827,57174066,"Promoter (<=1kb)",0,"GPBP1","GC-rich promoter binding protein 1"
"chr5",138932513,138932752,"Promoter (<=1kb)",612,"CTNNA1","catenin alpha 1"
